"","name","pvalue","estimate","expression","BH"
"15387","GO_TRANSCRIPTION_FACTOR_TFIIA_COMPLEX",1,0,"UP",1
"15388","GO_TRANSCRIPTION_FACTOR_TFIIA_COMPLEX",1,0,"Down",1
"15389","GO_TRANSCRIPTION_FACTOR_TFIIH_HOLO_COMPLEX",1,0,"UP",1
"15390","GO_TRANSCRIPTION_FACTOR_TFIIH_HOLO_COMPLEX",1,0,"Down",1
"15391","GO_CHROMATIN_SILENCING_COMPLEX",1,0,"UP",1
"15392","GO_CHROMATIN_SILENCING_COMPLEX",1,0,"Down",1
"15393","GO_ANAPHASE_PROMOTING_COMPLEX",1,0,"UP",1
"15394","GO_ANAPHASE_PROMOTING_COMPLEX",1,0,"Down",1
"15395","GO_SPLICEOSOMAL_COMPLEX",0.00186273307273634,0,"UP",0.0297708154665441
"15396","GO_SPLICEOSOMAL_COMPLEX",0.320553427954511,0.567265508149976,"Down",0.878781905502177
"15397","GO_U5_SNRNP",1,0,"UP",1
"15398","GO_U5_SNRNP",0.474392504381021,1.70746965231238,"Down",1
"15399","GO_U7_SNRNP",1,0,"UP",1
"15400","GO_U7_SNRNP",1,0,"Down",1
"15401","GO_U2_TYPE_SPLICEOSOMAL_COMPLEX",0.0716447681171162,0,"UP",0.390327308329518
"15402","GO_U2_TYPE_SPLICEOSOMAL_COMPLEX",0.767070610618329,0.628087315323708,"Down",1
"15403","GO_U1_SNRNP",1,0,"UP",1
"15404","GO_U1_SNRNP",1,0,"Down",1
"15405","GO_U2_SNRNP",1,0,"UP",1
"15406","GO_U2_SNRNP",1,0,"Down",1
"15407","GO_U4_SNRNP",1,0,"UP",1
"15408","GO_U4_SNRNP",1,0,"Down",1
"15409","GO_U6_SNRNP",1,0,"UP",1
"15410","GO_U6_SNRNP",0.330987031587496,2.98858893901806,"Down",0.878781905502177
"15411","GO_U12_TYPE_SPLICEOSOMAL_COMPLEX",1,0,"UP",1
"15412","GO_U12_TYPE_SPLICEOSOMAL_COMPLEX",1,0,"Down",1
"15413","GO_TELOMERASE_HOLOENZYME_COMPLEX",1,0,"UP",1
"15414","GO_TELOMERASE_HOLOENZYME_COMPLEX",1,0,"Down",1
"15415","GO_NUCLEAR_EUCHROMATIN",0.394217214823207,0,"UP",0.951028775912897
"15416","GO_NUCLEAR_EUCHROMATIN",0.654545721730986,1.40640662901421,"Down",1
"15417","GO_NUCLEAR_HETEROCHROMATIN",0.402660587076155,0,"UP",0.960456778880443
"15418","GO_NUCLEAR_HETEROCHROMATIN",1,0.596985704499431,"Down",1
"15419","GO_PERICENTRIC_HETEROCHROMATIN",0.616989274755516,0,"UP",1
"15420","GO_PERICENTRIC_HETEROCHROMATIN",1,1.08623121758675,"Down",1
"15421","GO_PERICHROMATIN_FIBRILS",1,0,"UP",1
"15422","GO_PERICHROMATIN_FIBRILS",1,0,"Down",1
"15423","GO_NUCLEOLUS",0.0169634517480142,0.611299359837547,"UP",0.149747840914357
"15424","GO_NUCLEOLUS",0.671021113508831,0.911996716411335,"Down",1
